"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu-focal-rax-dfw-0027048694",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","21 Oct 2021 21:58:39 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
21-10 21:58:39,,733852,650240,1109548,5205172,,,,,,,0.960,1.010,0.770,3,0,,,,10,2,0,9,0
21-10 21:58:40,8.368,7.619,81.431,0.125,0.125,738924,644692,1109604,5205392,207.824,7305.827,0,727.385,0,48.959,8942,8693,0.960,1.010,0.770,2,0,155.868,0,0,10,2,0,9,0
21-10 21:58:41,9.248,8.998,80.605,0,0.125,739916,643216,1109604,5205532,207.950,7513.182,0,127.969,0,10.997,8015,7491,0.970,1.010,0.770,2,0,359.913,0,0,10,2,0,9,0
21-10 21:58:42,8.750,7.375,81.503,0,0,772976,610000,1109604,5238928,150.005,1592.057,0,16.001,0,4.000,7683,8678,0.970,1.010,0.770,2,0,140.005,0,0,11,2,0,9,0
21-10 21:58:43,3.875,4.500,91.130,0,0.125,875012,507256,1109612,5330548,810.044,1221.066,0,48.003,0,2.000,3446,3127,0.970,1.010,0.770,1,0,214.012,0,0,11,4,0,9,0
21-10 21:58:44,8.876,8.501,79.761,1.750,0.125,867236,514820,1109616,5330728,156.022,7936.127,0,34728.932,0,799.113,6861,5002,0.970,1.010,0.770,4,0,319.045,0,0,11,4,0,9,0
21-10 21:58:45,11.124,3.000,84.994,0.250,0.250,906568,475372,1109684,5330864,11900.179,20200.606,47.997,575.960,2.000,34.998,2778,2781,0.970,1.010,0.770,1,0,185.987,0,0,11,4,0,11,0
21-10 21:58:46,11.494,1.124,86.704,0,0,943204,438160,1109740,5331220,0,0,135.928,835.560,9.995,34.982,1107,1227,1.050,1.020,0.780,1,0,1.999,0,0,11,4,0,11,0
21-10 21:58:47,11.879,0.750,87.030,0.250,0,959652,420520,1109884,5332028,0,0,80.028,500.174,3.001,18.006,919,958,1.050,1.020,0.780,1,0,0,0,0,11,4,0,11,0
21-10 21:58:48,12.251,0.500,86.379,0,0,963452,416600,1109896,5332132,8608.353,8608.353,12.000,492.020,1.000,14.001,2030,2057,1.050,1.020,0.780,2,0,0,0,0,11,6,0,11,0
21-10 21:58:49,6.377,1.125,81.149,7.002,0.250,977660,396644,1112456,5335120,34588.307,159025.390,0,24299.241,0,2314.690,15342,18349,1.050,1.020,0.780,0,1,0,0,0,11,6,0,11,0
21-10 21:58:50,7.745,1.124,83.694,5.122,0.250,981828,387416,1114668,5337736,53009.431,54942.134,0,13303.074,0,1744.829,13425,17923,1.050,1.020,0.780,1,0,0,0,0,11,6,0,11,0
21-10 21:58:51,7.378,1.126,82.539,4.627,0.375,984356,381812,1116420,5338972,57862.137,61491.840,0,12333.785,0,1534.720,12491,16437,1.200,1.060,0.790,1,0,0,0,0,11,6,0,11,0
21-10 21:58:52,8.378,1.125,83.281,4.127,0.125,986852,375312,1118008,5341228,80174.985,83587.262,0,9759.650,0,1238.463,11167,16041,1.200,1.060,0.790,2,0,0,0,0,11,6,0,11,0
21-10 21:58:53,9.004,1.250,82.907,3.501,0.125,988456,370844,1119440,5342496,83898.888,406543.365,0,7126.794,0,1072.420,10890,15143,1.200,1.060,0.790,2,0,0,0,0,11,6,0,11,0
21-10 21:58:54,8.747,0.750,83.851,4.499,0.250,990212,365876,1121084,5343984,78148.493,83229.030,0,12504.399,0,1484.572,10906,14644,1.200,1.060,0.790,1,1,0,0,0,11,6,0,11,0
21-10 21:58:55,8.374,1.250,82.993,4.500,0.250,991896,360608,1123032,5345500,85055.196,90060.795,0,9523.238,0,1300.896,12367,15419,1.200,1.060,0.790,2,1,1.000,0,0,11,6,0,11,0
21-10 21:58:56,9.621,1.624,81.966,2.749,0.250,993040,356948,1124224,5346748,131818.954,539313.881,0,4794.034,0,703.711,13434,15999,1.190,1.050,0.790,1,0,1.999,0,0,11,6,0,11,0
21-10 21:58:57,9.751,1.375,82.259,3.125,0.375,994312,352804,1125540,5348164,114881.407,473957.187,0,6320.683,0,881.095,14520,16633,1.190,1.050,0.790,0,1,0,0,0,11,6,0,11,0
21-10 21:58:58,8.874,1.125,82.864,4.499,0.250,996152,348244,1127312,5349012,89188.692,149193.411,0,9106.743,0,1245.828,11836,15188,1.190,1.050,0.790,1,0,0,0,0,11,6,0,11,0
21-10 21:58:59,9.125,1.125,82.871,3.875,0.375,997044,344532,1129220,5349764,122879.102,130868.718,0,9255.556,0,1322.936,11057,16694,1.190,1.050,0.790,1,1,2.000,0,0,11,6,0,11,0
21-10 21:59:00,11.252,1.125,86.513,0.500,0,917964,423216,1129460,5349860,16773.482,26416.910,0,1256.186,0,172.025,2475,3243,1.190,1.050,0.790,1,0,40.006,0,0,11,4,0,11,0
21-10 21:59:01,11.875,1.500,86.001,0.375,0,956528,384652,1129476,5349844,0,0,0,2844.048,0,110.002,1237,1285,1.170,1.050,0.790,1,0,10.000,0,0,11,4,0,11,0
21-10 21:59:02,12.125,1.125,85.374,1.250,0,986496,354344,1129728,5349932,0,0,0,6955.910,0,456.994,2141,2570,1.170,1.050,0.790,1,0,0,0,0,11,4,0,11,0
21-10 21:59:03,12.621,0.375,85.595,0.875,0,987632,352812,1129972,5350012,0,0,0,6905.590,0,462.838,2017,2468,1.170,1.050,0.790,1,0,0,0,0,11,4,0,11,0
21-10 21:59:04,11.378,1.375,85.775,0.875,0,921384,418692,1130340,5350008,52.015,1857.546,0,7278.140,0,461.136,2199,2643,1.170,1.050,0.790,1,0,7.002,0,0,11,4,0,11,0
21-10 21:59:05,11.744,1.374,85.080,1.249,0,960676,379092,1130612,5350024,0,0,0,17055.063,0,767.598,2413,2742,1.170,1.050,0.790,1,0,0,0,0,11,4,0,11,0
21-10 21:59:06,12.129,0.750,84.530,1.626,0.125,987148,352212,1131008,5350024,0,0,0,7206.515,0,480.168,2222,2744,1.240,1.070,0.800,1,0,2.001,0,0,11,4,0,11,0
21-10 21:59:07,12.625,0.125,86.378,0.500,0.125,991712,347516,1131144,5350020,0,0,0,2852.088,0,173.005,1341,1562,1.240,1.070,0.800,1,0,0,0,0,11,4,0,5,0
21-10 21:59:08,7.249,7.374,84.990,0,0.125,906448,432632,1131144,5350124,207.976,7390.150,0,31.996,0,7.999,4536,3710,1.240,1.070,0.800,1,0,333.962,0,0,11,4,0,5,0
21-10 21:59:09,12.377,7.752,77.891,0,0,934816,403128,1131152,5351472,468.093,2617.521,804.160,28.006,27.005,5.001,6512,6128,1.240,1.070,0.800,2,0,174.035,0,0,11,5,0,5,0
21-10 21:59:10,22.988,1.999,74.460,0,0,1014164,323356,1131152,5351808,51.972,3184.290,127.931,2818.486,2.998,139.925,1323,1086,1.240,1.070,0.800,2,0,1.999,0,0,11,5,0,5,0
21-10 21:59:11,23.390,1.626,74.672,0,0,1062428,274460,1131204,5352152,90.057,104.066,20.013,268.169,4.003,31.020,1333,1113,1.300,1.080,0.810,2,0,0,0,0,11,5,0,5,0
21-10 21:59:12,24.623,0.625,74.494,0,0,1081668,254544,1131204,5352776,0,0,351.974,0,8.999,0,1079,835,1.300,1.080,0.810,2,0,0,0,0,11,5,0,5,0
21-10 21:59:13,24.877,0.250,74.506,0.125,0,1086512,249684,1131212,5352776,194.014,208.015,0,208.015,0,6.000,1117,899,1.300,1.080,0.810,2,0,0,0,0,11,5,0,5,0
21-10 21:59:14,24.736,2.249,72.709,0,0.125,1110124,223964,1131348,5354408,89.949,103.941,0,1023.421,0,94.946,1697,4879,1.300,1.080,0.810,3,0,0,0,0,11,5,0,5,0
21-10 21:59:15,9.130,7.129,82.671,0,0,1111880,221628,1131368,5354868,1365.763,11112.212,0,1328.743,0,36.020,5567,5602,1.300,1.080,0.810,0,0,419.234,0,0,11,4,0,5,0
21-10 21:59:16,9.251,5.000,84.380,0,0.250,1122180,211308,1131408,5354908,298.018,11086.687,0,0,0,0,4393,3789,1.280,1.080,0.810,1,0,217.013,0,0,11,4,0,5,0
21-10 21:59:17,11.499,1.125,86.993,0,0,1161964,171524,1131408,5354908,187.986,753.943,0,0,0,0,826,963,1.280,1.080,0.810,1,0,0,0,0,11,4,0,5,0
21-10 21:59:18,11.999,0.625,87.121,0,0,1192612,140864,1131416,5354908,89.996,103.996,0,363.984,0,10.000,743,840,1.280,1.080,0.810,1,0,0,0,0,11,4,0,5,0
21-10 21:59:19,12.250,0.125,87.003,0,0,1196336,137132,1131424,5354908,90.004,104.004,0,400.016,0,10.000,718,794,1.280,1.080,0.810,1,0,0,0,0,11,4,0,5,0
21-10 21:59:20,12.000,0.750,86.000,0.500,0,1214084,118660,1131780,5355264,66172.066,76639.077,16.000,1236.001,2.000,193.000,3025,4291,1.280,1.080,0.810,1,0,0,0,0,11,10,0,5,0
21-10 21:59:21,12.375,1.625,84.751,0.750,0.125,1133008,220376,1131600,5336844,615.010,4913.084,552.009,9568.163,27.000,806.014,2198,2201,1.250,1.080,0.810,2,0,35.001,0,99.002,11,4,0,7,0
21-10 21:59:22,11.126,1.250,87.004,0.125,0,1163672,189224,1131612,5337280,182.009,188.009,268.013,0,19.001,0,890,964,1.250,1.080,0.810,1,0,0,0,0,11,4,0,7,0
21-10 21:59:23,11.868,1.374,86.071,0.375,0.250,1187088,165124,1131788,5337624,146113.971,146081.991,115.928,3809.627,9.994,182.886,2810,3124,1.250,1.080,0.810,1,0,0.999,0,0,11,30,0,7,0
21-10 21:59:24,11.256,1.001,87.050,0,0,1159656,192416,1131788,5337764,1907.087,2342.335,0,0,0,0,1289,1315,1.250,1.080,0.810,1,0,27.015,0,0,11,28,0,7,0
21-10 21:59:25,11.999,0.750,86.870,0,0.125,1189376,162680,1131796,5337768,21052.758,21052.758,0,139.992,0,5.000,1037,1173,1.250,1.080,0.810,1,0,0,0,0,11,30,0,8,0
21-10 21:59:26,15.991,4.373,78.833,0.125,0,1169992,181740,1131844,5338008,64156.676,65375.024,79.957,387.793,4.997,30.983,2818,2749,1.230,1.080,0.810,2,0,131.929,0,0,11,28,0,9,0
